freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.081e+01,1.334e+01,6.479e+02,6.720e+02
1.5,1.673e+01,1.977e+01,3.771e+02,4.136e+02
3.1,1.349e+01,1.631e+01,3.431e+01,6.411e+01
4.6,1.379e+01,1.532e+01,3.267e+02,3.558e+02
6.1,1.345e+01,1.521e+01,1.194e+03,1.223e+03
7.7,1.246e+01,1.525e+01,1.983e+03,2.010e+03
9.2,1.267e+01,1.726e+01,2.864e+03,2.893e+03
10.7,1.357e+01,1.724e+01,3.910e+03,3.941e+03
12.3,1.435e+01,1.573e+01,5.093e+03,5.123e+03
13.8,1.513e+01,1.702e+01,6.624e+03,6.656e+03
15.3,1.498e+01,1.953e+01,8.608e+03,8.643e+03
16.8,1.604e+01,2.279e+01,1.146e+04,1.150e+04
18.4,1.916e+01,2.516e+01,1.485e+04,1.489e+04
19.9,2.127e+01,2.824e+01,1.799e+04,1.804e+04
21.4,2.266e+01,3.182e+01,2.165e+04,2.170e+04
23.0,2.690e+01,3.348e+01,2.571e+04,2.577e+04
24.5,3.005e+01,3.697e+01,2.882e+04,2.889e+04
26.0,3.767e+01,3.863e+01,3.168e+04,3.176e+04
27.6,4.944e+01,5.647e+01,3.635e+04,3.646e+04
29.1,7.533e+01,8.209e+01,4.446e+04,4.461e+04
30.6,1.034e+02,1.201e+02,5.701e+04,5.724e+04
32.2,1.399e+02,1.830e+02,7.457e+04,7.489e+04
33.7,1.930e+02,3.129e+02,9.620e+04,9.670e+04
35.2,2.725e+02,4.038e+02,1.039e+05,1.046e+05
36.8,3.650e+02,3.108e+02,1.003e+05,1.010e+05
38.3,4.960e+02,3.934e+02,1.138e+05,1.147e+05
39.8,7.011e+02,5.821e+02,1.413e+05,1.426e+05
41.4,1.077e+03,7.839e+02,1.887e+05,1.906e+05
42.9,1.730e+03,1.369e+03,2.610e+05,2.641e+05
44.4,2.772e+03,2.853e+03,3.680e+05,3.736e+05
45.9,4.684e+03,6.030e+03,5.849e+05,5.956e+05
47.5,7.674e+03,1.232e+04,1.002e+06,1.022e+06
49.0,9.560e+03,2.807e+04,1.644e+06,1.682e+06
50.5,8.582e+03,3.760e+04,2.263e+06,2.309e+06
52.1,1.355e+04,3.134e+04,2.587e+06,2.631e+06
53.6,1.718e+04,2.482e+04,2.317e+06,2.359e+06
55.1,1.522e+04,1.900e+04,1.724e+06,1.758e+06
56.7,1.183e+04,1.307e+04,1.152e+06,1.177e+06
58.2,7.872e+03,8.407e+03,7.419e+05,7.582e+05
59.7,5.070e+03,5.709e+03,5.310e+05,5.418e+05
61.3,4.718e+03,4.008e+03,4.253e+05,4.340e+05
62.8,5.525e+03,2.978e+03,3.754e+05,3.839e+05
64.3,6.721e+03,2.114e+03,3.307e+05,3.395e+05
65.9,6.887e+03,1.617e+03,2.724e+05,2.809e+05
67.4,5.711e+03,1.431e+03,2.200e+05,2.271e+05
68.9,5.053e+03,1.651e+03,1.841e+05,1.908e+05
70.5,5.106e+03,1.934e+03,1.653e+05,1.724e+05
72.0,5.023e+03,2.046e+03,1.462e+05,1.533e+05
73.5,5.028e+03,2.127e+03,1.249e+05,1.320e+05
75.0,4.862e+03,2.063e+03,9.898e+04,1.059e+05
76.6,4.447e+03,1.858e+03,7.517e+04,8.147e+04
78.1,4.457e+03,1.837e+03,5.614e+04,6.243e+04
79.6,5.211e+03,2.230e+03,4.097e+04,4.841e+04
81.2,6.070e+03,2.743e+03,3.037e+04,3.918e+04
82.7,6.554e+03,2.987e+03,2.455e+04,3.409e+04
84.2,5.991e+03,2.516e+03,2.352e+04,3.203e+04
85.8,5.717e+03,2.248e+03,2.101e+04,2.898e+04
87.3,6.925e+03,2.635e+03,3.171e+04,4.127e+04
88.8,8.725e+03,2.809e+03,6.691e+04,7.844e+04
90.4,1.309e+04,3.394e+03,1.187e+05,1.352e+05
91.9,1.541e+04,3.486e+03,1.540e+05,1.729e+05
93.4,1.262e+04,2.402e+03,1.637e+05,1.787e+05
95.0,9.331e+03,1.335e+03,1.618e+05,1.724e+05
96.5,7.944e+03,8.526e+02,1.549e+05,1.637e+05
98.0,5.942e+03,5.101e+02,1.462e+05,1.527e+05
99.6,3.691e+03,6.273e+02,1.356e+05,1.400e+05
101.1,2.208e+03,1.447e+03,1.236e+05,1.273e+05
102.6,1.495e+03,2.676e+03,1.123e+05,1.165e+05
104.1,1.024e+03,4.087e+03,9.019e+04,9.530e+04
105.7,9.581e+02,5.296e+03,5.884e+04,6.510e+04
107.2,9.033e+02,6.347e+03,3.779e+04,4.504e+04
108.7,1.206e+03,7.301e+03,2.365e+04,3.216e+04
110.3,2.353e+03,8.966e+03,1.643e+04,2.775e+04
111.8,4.786e+03,1.312e+04,1.274e+04,3.065e+04
113.3,8.046e+03,2.153e+04,9.360e+03,3.893e+04
114.9,9.293e+03,3.064e+04,1.214e+04,5.208e+04
116.4,9.301e+03,9.245e+04,2.961e+05,3.979e+05
117.9,1.410e+04,4.072e+05,1.863e+06,2.284e+06
119.5,7.970e+03,1.694e+05,8.454e+05,1.023e+06
121.0,5.462e+03,1.349e+04,1.186e+05,1.376e+05
122.5,5.678e+03,6.642e+03,1.014e+05,1.137e+05
124.1,6.078e+03,5.062e+03,8.756e+04,9.870e+04
125.6,6.517e+03,4.628e+03,7.180e+04,8.295e+04
127.1,6.925e+03,4.603e+03,6.166e+04,7.319e+04
128.7,7.306e+03,4.739e+03,5.287e+04,6.492e+04
130.2,8.356e+03,5.383e+03,4.607e+04,5.981e+04
131.7,9.378e+03,5.823e+03,4.151e+04,5.671e+04
133.2,5.272e+03,3.204e+03,2.192e+04,3.040e+04
134.8,1.155e+03,8.781e+02,5.369e+03,7.402e+03
136.3,1.146e+03,8.130e+02,4.182e+03,6.141e+03
137.8,1.456e+03,8.862e+02,4.205e+03,6.547e+03
139.4,1.753e+03,9.791e+02,4.122e+03,6.853e+03
140.9,2.133e+03,1.143e+03,4.149e+03,7.424e+03
142.4,2.690e+03,1.435e+03,4.128e+03,8.252e+03
144.0,3.151e+03,1.734e+03,4.156e+03,9.040e+03
145.5,3.369e+03,1.939e+03,4.360e+03,9.668e+03
147.0,3.771e+03,2.240e+03,4.398e+03,1.041e+04
148.6,4.053e+03,2.507e+03,4.168e+03,1.073e+04
150.1,3.901e+03,2.561e+03,3.744e+03,1.021e+04
151.6,3.031e+03,2.141e+03,2.739e+03,7.911e+03
153.2,2.010e+03,1.623e+03,1.683e+03,5.317e+03
154.7,1.519e+03,1.302e+03,9.736e+02,3.795e+03
156.2,1.263e+03,1.017e+03,5.166e+02,2.797e+03
157.8,1.225e+03,8.542e+02,5.431e+02,2.622e+03
159.3,1.448e+03,8.488e+02,9.256e+02,3.222e+03
160.8,1.957e+03,1.031e+03,1.645e+03,4.633e+03
162.3,2.639e+03,1.338e+03,2.482e+03,6.460e+03
163.9,3.694e+03,1.884e+03,3.254e+03,8.832e+03
165.4,5.277e+03,2.782e+03,4.199e+03,1.226e+04
166.9,7.254e+03,3.969e+03,4.935e+03,1.616e+04
168.5,1.027e+04,5.689e+03,5.774e+03,2.173e+04
170.0,1.397e+04,7.833e+03,6.313e+03,2.812e+04
171.5,1.701e+04,9.898e+03,6.813e+03,3.372e+04
173.1,1.847e+04,1.113e+04,6.829e+03,3.643e+04
174.6,1.773e+04,1.067e+04,5.225e+03,3.363e+04
176.1,1.623e+04,9.395e+03,4.866e+03,3.049e+04
177.7,1.328e+04,7.643e+03,4.238e+03,2.516e+04
179.2,1.059e+04,6.316e+03,2.972e+03,1.988e+04
180.7,9.190e+03,5.450e+03,2.672e+03,1.731e+04
182.3,7.764e+03,4.566e+03,2.066e+03,1.440e+04
183.8,6.483e+03,3.880e+03,1.668e+03,1.203e+04
185.3,5.575e+03,3.330e+03,1.394e+03,1.030e+04
186.9,4.977e+03,2.931e+03,1.239e+03,9.148e+03
188.4,4.652e+03,2.696e+03,1.150e+03,8.498e+03
189.9,4.374e+03,2.528e+03,9.937e+02,7.896e+03
191.4,4.173e+03,2.399e+03,9.185e+02,7.491e+03
193.0,3.933e+03,2.249e+03,8.816e+02,7.063e+03
194.5,3.842e+03,2.205e+03,8.524e+02,6.899e+03
196.0,3.603e+03,2.026e+03,8.168e+02,6.445e+03
197.6,3.433e+03,1.920e+03,7.823e+02,6.135e+03
199.1,3.377e+03,1.893e+03,7.603e+02,6.030e+03
