freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.805e+01,5.133e+02,1.875e+01,5.601e+02
1.5,2.496e+01,2.922e+02,2.628e+01,3.434e+02
3.1,1.262e+01,2.236e+01,2.311e+01,5.809e+01
4.6,1.299e+01,3.129e+02,2.522e+01,3.511e+02
6.1,1.258e+01,1.183e+03,2.624e+01,1.222e+03
7.7,1.324e+01,2.063e+03,2.600e+01,2.102e+03
9.2,1.300e+01,3.110e+03,2.535e+01,3.148e+03
10.7,1.358e+01,4.460e+03,2.676e+01,4.500e+03
12.3,1.355e+01,6.199e+03,2.566e+01,6.238e+03
13.8,1.378e+01,8.469e+03,2.471e+01,8.507e+03
15.3,1.421e+01,1.105e+04,2.396e+01,1.109e+04
16.8,1.563e+01,1.412e+04,2.277e+01,1.416e+04
18.4,1.801e+01,1.853e+04,2.465e+01,1.858e+04
19.9,2.206e+01,2.487e+04,2.679e+01,2.492e+04
21.4,2.663e+01,3.293e+04,2.827e+01,3.298e+04
23.0,3.116e+01,4.416e+04,2.931e+01,4.422e+04
24.5,4.220e+01,6.082e+04,2.859e+01,6.090e+04
26.0,5.554e+01,8.401e+04,3.301e+01,8.410e+04
27.6,7.274e+01,1.191e+05,4.223e+01,1.192e+05
29.1,1.025e+02,1.802e+05,5.374e+01,1.804e+05
30.6,1.760e+02,2.679e+05,6.354e+01,2.681e+05
32.2,3.910e+02,3.733e+05,9.610e+01,3.738e+05
33.7,9.375e+02,5.228e+05,2.019e+02,5.239e+05
35.2,1.622e+03,6.214e+05,3.504e+02,6.233e+05
36.8,2.108e+03,5.575e+05,4.208e+02,5.600e+05
38.3,2.876e+03,4.814e+05,3.211e+02,4.846e+05
39.8,3.671e+03,5.152e+05,2.061e+02,5.191e+05
41.4,3.717e+03,6.313e+05,1.963e+02,6.352e+05
42.9,2.742e+03,7.113e+05,2.884e+02,7.144e+05
44.4,1.465e+03,6.971e+05,4.311e+02,6.990e+05
45.9,4.929e+02,6.655e+05,6.747e+02,6.667e+05
47.5,8.935e+02,6.141e+05,9.235e+02,6.159e+05
49.0,2.488e+03,5.357e+05,1.249e+03,5.395e+05
50.5,4.388e+03,4.552e+05,1.968e+03,4.616e+05
52.1,8.195e+03,3.675e+05,2.572e+03,3.783e+05
53.6,1.347e+04,3.148e+05,2.882e+03,3.311e+05
55.1,1.723e+04,2.811e+05,3.686e+03,3.020e+05
56.7,1.739e+04,2.329e+05,6.286e+03,2.566e+05
58.2,1.866e+04,1.915e+05,1.227e+04,2.225e+05
59.7,1.961e+04,1.661e+05,2.225e+04,2.079e+05
61.3,1.821e+04,1.367e+05,2.886e+04,1.838e+05
62.8,1.579e+04,1.053e+05,3.075e+04,1.518e+05
64.3,1.320e+04,7.915e+04,3.094e+04,1.233e+05
65.9,1.100e+04,5.850e+04,2.794e+04,9.744e+04
67.4,9.579e+03,3.995e+04,2.373e+04,7.326e+04
68.9,1.026e+04,2.397e+04,2.101e+04,5.524e+04
70.4,1.474e+04,1.455e+04,1.899e+04,4.827e+04
72.0,2.121e+04,1.186e+04,1.831e+04,5.138e+04
73.5,2.929e+04,1.373e+04,1.871e+04,6.173e+04
75.0,4.168e+04,2.006e+04,1.805e+04,7.979e+04
76.6,5.518e+04,2.896e+04,1.456e+04,9.869e+04
78.1,6.435e+04,3.501e+04,1.029e+04,1.097e+05
79.6,7.014e+04,3.818e+04,6.778e+03,1.151e+05
81.2,7.566e+04,4.048e+04,4.970e+03,1.211e+05
82.7,8.225e+04,4.119e+04,5.332e+03,1.288e+05
84.2,1.039e+05,4.690e+04,6.500e+03,1.573e+05
85.8,1.568e+05,6.491e+04,8.582e+03,2.303e+05
87.3,2.281e+05,8.808e+04,1.127e+04,3.274e+05
88.8,2.441e+05,8.650e+04,1.305e+04,3.437e+05
90.4,1.985e+05,6.289e+04,1.309e+04,2.744e+05
91.9,1.478e+05,4.097e+04,1.309e+04,2.019e+05
93.4,1.110e+05,2.754e+04,1.286e+04,1.514e+05
95.0,8.483e+04,1.968e+04,1.051e+04,1.150e+05
96.5,6.639e+04,1.471e+04,7.787e+03,8.888e+04
98.0,5.349e+04,1.123e+04,7.396e+03,7.212e+04
99.5,4.512e+04,8.778e+03,5.932e+03,5.983e+04
101.1,3.848e+04,7.022e+03,4.125e+03,4.963e+04
102.6,3.401e+04,5.837e+03,3.384e+03,4.323e+04
104.1,2.965e+04,5.023e+03,2.874e+03,3.754e+04
105.7,2.415e+04,4.819e+03,3.258e+03,3.223e+04
107.2,2.205e+04,6.375e+03,5.114e+03,3.354e+04
108.7,1.939e+04,9.636e+03,1.085e+04,3.988e+04
110.3,1.545e+04,1.410e+04,2.524e+04,5.479e+04
111.8,1.070e+04,2.008e+04,5.108e+04,8.186e+04
113.3,6.390e+03,2.733e+04,8.596e+04,1.197e+05
114.9,3.432e+03,3.583e+04,1.269e+05,1.661e+05
116.4,1.879e+03,4.506e+04,1.667e+05,2.136e+05
117.9,1.255e+03,5.139e+04,1.887e+05,2.413e+05
119.5,1.080e+03,5.073e+04,1.767e+05,2.285e+05
121.0,9.994e+02,4.167e+04,1.287e+05,1.714e+05
122.5,1.075e+03,2.977e+04,7.966e+04,1.105e+05
124.1,1.274e+03,2.128e+04,5.119e+04,7.374e+04
125.6,1.424e+03,1.643e+04,3.517e+04,5.303e+04
127.1,1.532e+03,1.354e+04,2.494e+04,4.002e+04
128.6,1.684e+03,1.154e+04,1.815e+04,3.137e+04
130.2,1.783e+03,1.017e+04,1.420e+04,2.615e+04
131.7,1.719e+03,8.615e+03,1.124e+04,2.158e+04
133.2,1.045e+03,4.306e+03,5.362e+03,1.071e+04
134.8,4.898e+02,1.261e+03,1.307e+03,3.057e+03
136.3,6.316e+02,9.922e+02,7.581e+02,2.382e+03
137.8,8.205e+02,9.308e+02,5.436e+02,2.295e+03
139.4,9.986e+02,7.831e+02,3.954e+02,2.177e+03
140.9,1.286e+03,7.264e+02,3.536e+02,2.366e+03
142.4,1.616e+03,7.494e+02,3.789e+02,2.744e+03
144.0,1.801e+03,7.517e+02,3.986e+02,2.951e+03
145.5,1.780e+03,7.125e+02,3.960e+02,2.889e+03
147.0,1.760e+03,6.717e+02,4.131e+02,2.844e+03
148.6,1.670e+03,5.999e+02,4.151e+02,2.685e+03
150.1,1.556e+03,4.992e+02,3.967e+02,2.452e+03
151.6,1.445e+03,4.027e+02,3.688e+02,2.216e+03
153.2,1.256e+03,3.246e+02,3.317e+02,1.912e+03
154.7,9.781e+02,2.543e+02,3.171e+02,1.550e+03
156.2,5.985e+02,1.727e+02,3.520e+02,1.123e+03
157.7,2.731e+02,1.208e+02,4.414e+02,8.354e+02
159.3,1.749e+02,1.381e+02,5.097e+02,8.226e+02
160.8,1.668e+02,1.722e+02,5.281e+02,8.671e+02
162.3,1.855e+02,1.896e+02,5.387e+02,9.138e+02
163.9,1.958e+02,1.795e+02,5.038e+02,8.791e+02
165.4,1.955e+02,1.705e+02,4.538e+02,8.198e+02
166.9,2.192e+02,1.995e+02,5.069e+02,9.256e+02
168.5,2.236e+02,2.313e+02,6.203e+02,1.075e+03
170.0,2.589e+02,2.731e+02,8.390e+02,1.371e+03
171.5,3.931e+02,3.591e+02,1.081e+03,1.833e+03
173.1,6.105e+02,4.417e+02,1.308e+03,2.360e+03
174.6,9.082e+02,5.118e+02,1.538e+03,2.958e+03
176.1,1.148e+03,5.273e+02,1.581e+03,3.256e+03
177.7,1.151e+03,4.660e+02,1.430e+03,3.047e+03
179.2,1.082e+03,3.936e+02,1.266e+03,2.742e+03
