freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.289e+01,3.938e+02,1.915e+01,4.258e+02
1.6,3.199e+01,2.417e+02,6.178e+01,3.354e+02
3.1,3.261e+01,4.674e+01,7.014e+01,1.495e+02
4.7,3.229e+01,3.798e+02,7.168e+01,4.838e+02
6.2,3.126e+01,1.332e+03,6.614e+01,1.430e+03
7.8,3.588e+01,2.256e+03,6.971e+01,2.361e+03
9.3,3.513e+01,3.332e+03,7.233e+01,3.440e+03
10.9,3.626e+01,4.769e+03,7.695e+01,4.882e+03
12.4,3.719e+01,6.766e+03,8.074e+01,6.884e+03
14.0,3.853e+01,9.307e+03,8.437e+01,9.430e+03
15.5,3.689e+01,1.260e+04,8.703e+01,1.273e+04
17.1,4.086e+01,1.728e+04,1.042e+02,1.743e+04
18.6,7.878e+01,2.359e+04,1.588e+02,2.382e+04
20.2,1.625e+02,2.019e+04,1.285e+02,2.048e+04
21.7,1.856e+02,2.159e+04,1.025e+02,2.188e+04
23.3,1.941e+02,3.108e+04,9.655e+01,3.137e+04
24.8,1.648e+02,4.329e+04,9.567e+01,4.355e+04
26.4,1.460e+02,6.056e+04,1.010e+02,6.081e+04
27.9,1.404e+02,8.546e+04,1.254e+02,8.573e+04
29.5,2.269e+02,1.250e+05,1.239e+02,1.253e+05
31.0,3.768e+02,1.853e+05,1.240e+02,1.858e+05
32.6,5.378e+02,2.409e+05,1.164e+02,2.415e+05
34.1,8.957e+02,3.182e+05,1.150e+02,3.192e+05
35.7,1.594e+03,4.289e+05,1.106e+02,4.306e+05
37.2,2.482e+03,5.571e+05,1.435e+02,5.598e+05
38.8,3.031e+03,6.217e+05,3.309e+02,6.251e+05
40.3,2.785e+03,6.026e+05,6.157e+02,6.060e+05
41.9,1.989e+03,5.539e+05,8.426e+02,5.567e+05
43.4,1.047e+03,4.744e+05,7.065e+02,4.762e+05
45.0,4.948e+02,3.704e+05,4.463e+02,3.714e+05
46.5,4.043e+02,3.171e+05,3.372e+02,3.178e+05
48.1,1.248e+03,3.407e+05,4.966e+02,3.425e+05
49.6,2.377e+03,3.438e+05,6.548e+02,3.469e+05
51.2,2.833e+03,3.087e+05,8.627e+02,3.123e+05
52.7,2.946e+03,2.656e+05,1.261e+03,2.698e+05
54.3,2.979e+03,2.145e+05,1.252e+03,2.187e+05
55.8,3.328e+03,1.528e+05,9.739e+02,1.571e+05
57.4,3.509e+03,9.555e+04,4.541e+02,9.951e+04
58.9,3.663e+03,6.716e+04,1.766e+02,7.100e+04
60.5,3.412e+03,5.780e+04,3.362e+02,6.155e+04
62.0,3.275e+03,4.991e+04,6.908e+02,5.388e+04
63.6,3.461e+03,4.022e+04,7.951e+02,4.447e+04
65.1,4.320e+03,2.861e+04,6.080e+02,3.354e+04
66.7,5.667e+03,1.918e+04,4.630e+02,2.531e+04
68.2,6.615e+03,1.294e+04,6.921e+02,2.025e+04
69.8,7.907e+03,9.439e+03,1.260e+03,1.861e+04
71.3,8.679e+03,8.953e+03,1.874e+03,1.951e+04
72.9,9.132e+03,9.465e+03,2.373e+03,2.097e+04
74.4,1.082e+04,1.055e+04,3.612e+03,2.499e+04
76.0,1.200e+04,1.147e+04,5.106e+03,2.858e+04
77.5,1.515e+04,1.292e+04,4.820e+03,3.289e+04
79.1,2.160e+04,1.658e+04,4.321e+03,4.250e+04
80.6,2.892e+04,2.107e+04,4.163e+03,5.415e+04
82.2,3.490e+04,2.450e+04,3.583e+03,6.298e+04
83.7,4.045e+04,2.647e+04,2.851e+03,6.977e+04
85.3,4.222e+04,2.540e+04,1.650e+03,6.926e+04
86.8,3.717e+04,2.079e+04,7.990e+02,5.876e+04
88.4,3.427e+04,1.778e+04,6.012e+02,5.265e+04
89.9,3.722e+04,1.708e+04,7.886e+02,5.509e+04
91.5,3.766e+04,1.495e+04,1.337e+03,5.394e+04
93.0,3.429e+04,1.117e+04,2.541e+03,4.800e+04
94.6,3.168e+04,8.490e+03,2.323e+03,4.249e+04
96.1,2.849e+04,6.117e+03,1.312e+03,3.592e+04
97.7,2.281e+04,3.379e+03,1.325e+03,2.751e+04
99.2,1.691e+04,1.701e+03,2.091e+03,2.071e+04
100.8,9.852e+03,1.747e+03,2.738e+03,1.434e+04
102.3,5.134e+03,2.990e+03,2.848e+03,1.097e+04
103.9,3.370e+03,4.306e+03,2.794e+03,1.047e+04
105.4,2.557e+03,4.951e+03,2.650e+03,1.016e+04
107.0,2.971e+03,4.936e+03,3.122e+03,1.103e+04
108.5,3.800e+03,4.624e+03,4.543e+03,1.297e+04
110.1,5.061e+03,5.410e+03,6.133e+03,1.661e+04
111.6,5.438e+03,5.671e+03,8.472e+03,1.958e+04
113.2,5.141e+03,5.306e+03,1.029e+04,2.074e+04
114.7,5.042e+03,4.857e+03,9.967e+03,1.987e+04
116.3,5.106e+03,4.541e+03,1.007e+04,1.972e+04
117.8,5.320e+03,3.282e+04,1.448e+05,1.829e+05
119.4,6.973e+03,1.950e+05,9.062e+05,1.108e+06
120.9,6.733e+03,9.220e+04,4.135e+05,5.124e+05
122.5,6.928e+03,9.599e+03,2.113e+04,3.766e+04
124.0,8.038e+03,8.985e+03,1.291e+04,2.994e+04
125.6,9.584e+03,9.658e+03,1.078e+04,3.002e+04
127.1,1.123e+04,9.826e+03,9.063e+03,3.012e+04
128.7,1.243e+04,9.886e+03,7.484e+03,2.980e+04
130.2,1.358e+04,9.807e+03,6.441e+03,2.982e+04
131.8,1.260e+04,8.719e+03,5.349e+03,2.666e+04
133.3,5.410e+03,4.392e+03,3.172e+03,1.297e+04
134.9,1.791e+03,2.081e+03,2.139e+03,6.010e+03
136.4,1.500e+03,1.605e+03,1.937e+03,5.041e+03
138.0,1.085e+03,1.013e+03,1.481e+03,3.580e+03
139.5,5.147e+02,3.635e+02,7.220e+02,1.600e+03
141.1,3.414e+02,2.263e+02,5.750e+02,1.143e+03
142.6,3.198e+02,2.040e+02,4.674e+02,9.911e+02
144.2,2.797e+02,1.538e+02,3.002e+02,7.337e+02
145.7,3.072e+02,1.304e+02,1.973e+02,6.349e+02
147.3,3.587e+02,1.119e+02,1.589e+02,6.295e+02
148.9,3.748e+02,9.384e+01,1.454e+02,6.141e+02
150.4,3.823e+02,7.345e+01,1.765e+02,6.322e+02
152.0,3.524e+02,7.573e+01,1.873e+02,6.154e+02
153.5,2.785e+02,8.289e+01,1.839e+02,5.453e+02
155.1,2.092e+02,1.099e+02,1.753e+02,4.944e+02
156.6,1.507e+02,1.338e+02,1.846e+02,4.691e+02
158.2,1.372e+02,1.427e+02,2.131e+02,4.930e+02
159.7,1.553e+02,1.572e+02,2.467e+02,5.592e+02
161.3,1.899e+02,1.838e+02,2.913e+02,6.650e+02
162.8,2.053e+02,1.812e+02,2.859e+02,6.725e+02
164.4,2.135e+02,1.816e+02,3.118e+02,7.069e+02
165.9,2.346e+02,1.849e+02,3.248e+02,7.443e+02
167.5,2.621e+02,1.858e+02,3.095e+02,7.574e+02
169.0,3.146e+02,1.930e+02,2.896e+02,7.972e+02
170.6,4.022e+02,2.001e+02,2.592e+02,8.615e+02
172.1,5.225e+02,2.286e+02,2.082e+02,9.593e+02
173.7,5.770e+02,2.309e+02,1.672e+02,9.750e+02
175.2,5.758e+02,2.195e+02,1.605e+02,9.558e+02
176.8,6.218e+02,2.009e+02,1.549e+02,9.776e+02
178.3,5.920e+02,1.658e+02,1.499e+02,9.077e+02
179.9,5.914e+02,1.654e+02,1.613e+02,9.180e+02
181.4,5.812e+02,1.494e+02,1.629e+02,8.935e+02
183.0,5.621e+02,1.405e+02,1.571e+02,8.598e+02
184.5,5.386e+02,1.289e+02,1.613e+02,8.288e+02
186.1,5.719e+02,1.133e+02,1.619e+02,8.471e+02
187.6,6.454e+02,1.049e+02,1.507e+02,9.010e+02
189.2,6.574e+02,1.008e+02,1.344e+02,8.926e+02
190.7,6.431e+02,1.029e+02,1.308e+02,8.768e+02
192.3,6.340e+02,1.106e+02,1.308e+02,8.754e+02
193.8,5.978e+02,1.225e+02,1.159e+02,8.362e+02
195.4,6.113e+02,1.343e+02,1.107e+02,8.562e+02
196.9,6.791e+02,1.561e+02,1.097e+02,9.450e+02
198.5,7.540e+02,1.379e+02,1.083e+02,1.000e+03
