freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.148e+01,1.958e+01,4.337e+02,4.647e+02
1.6,3.777e+01,4.145e+01,3.081e+02,3.873e+02
3.1,3.802e+01,3.782e+01,9.410e+01,1.699e+02
4.7,3.570e+01,4.152e+01,3.974e+02,4.746e+02
6.2,3.575e+01,4.377e+01,1.296e+03,1.376e+03
7.8,3.735e+01,4.198e+01,2.141e+03,2.221e+03
9.3,4.031e+01,3.981e+01,3.081e+03,3.161e+03
10.9,3.651e+01,4.013e+01,4.246e+03,4.323e+03
12.4,3.748e+01,4.000e+01,5.751e+03,5.829e+03
14.0,3.728e+01,4.047e+01,7.734e+03,7.812e+03
15.5,3.826e+01,4.030e+01,1.079e+04,1.087e+04
17.1,7.623e+01,4.033e+01,1.318e+04,1.329e+04
18.6,1.221e+02,5.621e+01,1.262e+04,1.280e+04
20.2,7.001e+01,7.781e+01,1.257e+04,1.272e+04
21.7,4.740e+01,6.305e+01,1.627e+04,1.638e+04
23.3,5.713e+01,5.569e+01,2.126e+04,2.137e+04
24.8,6.451e+01,5.619e+01,2.647e+04,2.659e+04
26.4,6.578e+01,5.768e+01,3.295e+04,3.308e+04
27.9,6.807e+01,6.748e+01,4.113e+04,4.127e+04
29.5,8.350e+01,7.431e+01,5.145e+04,5.160e+04
31.0,1.007e+02,8.803e+01,6.500e+04,6.519e+04
32.6,1.246e+02,1.133e+02,8.408e+04,8.432e+04
34.1,1.653e+02,2.415e+02,1.136e+05,1.140e+05
35.7,2.274e+02,8.072e+02,1.507e+05,1.517e+05
37.3,2.886e+02,1.929e+03,2.054e+05,2.076e+05
38.8,7.495e+02,3.450e+03,2.753e+05,2.795e+05
40.4,1.637e+03,3.376e+03,2.288e+05,2.339e+05
41.9,1.660e+03,1.800e+03,1.095e+05,1.130e+05
43.5,8.098e+02,7.259e+02,6.567e+04,6.720e+04
45.0,4.745e+02,5.384e+02,8.998e+04,9.099e+04
46.6,6.471e+02,2.893e+03,1.657e+05,1.693e+05
48.1,1.097e+03,1.137e+04,3.183e+05,3.307e+05
49.7,1.977e+03,2.327e+04,5.650e+05,5.902e+05
51.2,4.525e+03,2.674e+04,8.426e+05,8.738e+05
52.8,9.012e+03,1.788e+04,1.021e+06,1.048e+06
54.3,1.094e+04,1.654e+04,9.024e+05,9.299e+05
55.9,9.311e+03,1.762e+04,6.636e+05,6.905e+05
57.4,7.566e+03,1.512e+04,5.548e+05,5.774e+05
59.0,5.093e+03,1.161e+04,4.200e+05,4.367e+05
60.5,2.840e+03,8.372e+03,3.286e+05,3.398e+05
62.1,1.989e+03,6.651e+03,3.307e+05,3.393e+05
63.6,2.606e+03,7.141e+03,4.570e+05,4.668e+05
65.2,3.045e+03,7.256e+03,6.167e+05,6.270e+05
66.7,2.920e+03,5.379e+03,6.861e+05,6.944e+05
68.3,2.654e+03,2.975e+03,6.220e+05,6.276e+05
69.9,2.371e+03,1.502e+03,5.352e+05,5.391e+05
71.4,2.178e+03,6.426e+02,4.453e+05,4.482e+05
73.0,2.062e+03,2.487e+02,3.560e+05,3.583e+05
74.5,1.633e+03,1.944e+02,2.830e+05,2.848e+05
76.1,1.131e+03,2.758e+02,2.259e+05,2.273e+05
77.6,1.010e+03,4.534e+02,1.840e+05,1.854e+05
79.2,1.463e+03,9.164e+02,1.573e+05,1.597e+05
80.7,1.628e+03,1.307e+03,1.459e+05,1.489e+05
82.3,1.304e+03,1.623e+03,1.580e+05,1.609e+05
83.8,6.288e+02,1.524e+03,1.974e+05,1.996e+05
85.4,6.704e+02,1.071e+03,2.302e+05,2.319e+05
86.9,1.542e+03,7.947e+02,2.372e+05,2.395e+05
88.5,1.634e+03,5.299e+02,2.248e+05,2.270e+05
90.0,1.392e+03,5.042e+02,2.111e+05,2.130e+05
91.6,1.137e+03,4.720e+02,1.912e+05,1.928e+05
93.1,8.447e+02,6.052e+02,1.679e+05,1.694e+05
94.7,8.439e+02,8.792e+02,1.390e+05,1.407e+05
96.2,8.128e+02,1.200e+03,1.105e+05,1.125e+05
97.8,1.574e+03,1.907e+03,8.368e+04,8.716e+04
99.3,3.969e+03,3.203e+03,6.458e+04,7.175e+04
100.9,7.743e+03,4.834e+03,4.920e+04,6.177e+04
102.4,1.164e+04,6.187e+03,4.193e+04,5.976e+04
104.0,1.144e+04,5.990e+03,4.163e+04,5.906e+04
105.6,1.037e+04,6.383e+03,5.587e+04,7.262e+04
107.1,1.291e+04,7.582e+03,8.767e+04,1.082e+05
108.7,1.461e+04,7.685e+03,1.207e+05,1.430e+05
110.2,1.532e+04,7.876e+03,1.515e+05,1.747e+05
111.8,1.642e+04,9.687e+03,1.720e+05,1.981e+05
113.3,1.670e+04,1.347e+04,1.775e+05,2.077e+05
114.9,1.604e+04,2.073e+04,1.625e+05,1.992e+05
116.4,1.459e+04,2.937e+04,1.226e+05,1.665e+05
118.0,1.301e+04,5.572e+04,1.860e+05,2.547e+05
119.5,1.264e+04,2.772e+05,1.252e+06,1.542e+06
121.1,1.133e+04,2.106e+05,8.774e+05,1.099e+06
122.6,9.815e+03,4.324e+04,3.710e+04,9.015e+04
124.2,9.708e+03,3.146e+04,1.129e+04,5.246e+04
125.7,9.888e+03,2.700e+04,2.020e+04,5.709e+04
127.3,1.003e+04,2.280e+04,3.173e+04,6.456e+04
128.8,1.041e+04,1.970e+04,4.148e+04,7.159e+04
130.4,1.105e+04,1.834e+04,4.602e+04,7.541e+04
131.9,1.087e+04,1.666e+04,4.264e+04,7.017e+04
133.5,5.098e+03,7.223e+03,1.752e+04,2.985e+04
135.0,1.696e+03,1.944e+03,3.777e+03,7.417e+03
136.6,1.674e+03,1.895e+03,2.930e+03,6.499e+03
138.2,1.735e+03,2.046e+03,2.459e+03,6.240e+03
139.7,1.931e+03,2.369e+03,1.999e+03,6.299e+03
141.3,2.461e+03,3.048e+03,1.553e+03,7.062e+03
142.8,3.335e+03,3.926e+03,1.336e+03,8.597e+03
144.4,4.212e+03,4.588e+03,1.489e+03,1.029e+04
145.9,5.173e+03,5.172e+03,1.901e+03,1.225e+04
147.5,6.918e+03,6.829e+03,2.191e+03,1.594e+04
149.0,1.037e+04,1.030e+04,2.321e+03,2.299e+04
150.6,1.406e+04,1.382e+04,2.107e+03,2.999e+04
152.1,1.700e+04,1.630e+04,1.745e+03,3.505e+04
153.7,1.881e+04,1.734e+04,1.218e+03,3.737e+04
155.2,1.899e+04,1.683e+04,8.912e+02,3.671e+04
156.8,1.685e+04,1.456e+04,6.782e+02,3.208e+04
158.3,1.253e+04,1.041e+04,4.514e+02,2.339e+04
159.9,7.941e+03,6.406e+03,4.346e+02,1.478e+04
161.4,4.462e+03,3.499e+03,3.906e+02,8.352e+03
163.0,2.626e+03,1.974e+03,3.477e+02,4.948e+03
164.5,1.743e+03,1.294e+03,3.375e+02,3.374e+03
166.1,1.762e+03,1.313e+03,3.371e+02,3.412e+03
167.6,2.365e+03,1.757e+03,3.104e+02,4.433e+03
169.2,3.365e+03,2.350e+03,3.552e+02,6.070e+03
170.7,3.169e+03,2.181e+03,3.976e+02,5.748e+03
172.3,3.360e+03,2.389e+03,4.383e+02,6.188e+03
173.9,3.521e+03,2.422e+03,3.864e+02,6.329e+03
175.4,3.318e+03,2.190e+03,2.877e+02,5.795e+03
177.0,3.109e+03,1.947e+03,2.242e+02,5.281e+03
178.5,2.837e+03,1.690e+03,2.008e+02,4.728e+03
180.1,3.038e+03,1.753e+03,1.719e+02,4.963e+03
181.6,2.669e+03,1.597e+03,1.835e+02,4.449e+03
183.2,2.069e+03,1.281e+03,2.071e+02,3.558e+03
184.7,1.991e+03,1.236e+03,2.069e+02,3.435e+03
186.3,1.889e+03,1.189e+03,2.180e+02,3.296e+03
187.8,1.762e+03,1.084e+03,2.226e+02,3.069e+03
189.4,1.728e+03,1.050e+03,2.161e+02,2.994e+03
190.9,1.602e+03,1.016e+03,2.234e+02,2.841e+03
192.5,1.487e+03,9.112e+02,2.162e+02,2.614e+03
194.0,1.445e+03,8.517e+02,2.161e+02,2.513e+03
195.6,1.262e+03,7.477e+02,2.092e+02,2.219e+03
197.1,9.899e+02,6.028e+02,1.596e+02,1.752e+03
198.7,9.931e+02,6.005e+02,1.294e+02,1.723e+03
