freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.369e+01,5.999e+02,7.917e+00,6.815e+02
1.6,5.877e+01,3.442e+02,2.558e+01,4.285e+02
3.1,2.032e+01,2.877e+01,2.756e+01,7.665e+01
4.7,2.047e+01,3.640e+02,2.783e+01,4.123e+02
6.2,2.198e+01,1.252e+03,2.757e+01,1.302e+03
7.8,2.022e+01,2.124e+03,2.955e+01,2.173e+03
9.4,1.952e+01,3.214e+03,2.774e+01,3.261e+03
10.9,2.038e+01,4.718e+03,2.676e+01,4.765e+03
12.5,2.247e+01,6.723e+03,3.013e+01,6.776e+03
14.1,2.542e+01,9.099e+03,2.802e+01,9.153e+03
15.6,4.464e+01,1.232e+04,3.461e+01,1.240e+04
17.2,7.918e+01,1.646e+04,4.668e+01,1.658e+04
18.7,4.692e+01,2.215e+04,4.214e+01,2.224e+04
20.3,2.765e+01,3.022e+04,6.656e+01,3.031e+04
21.9,3.632e+01,3.804e+04,2.086e+02,3.829e+04
23.4,7.076e+01,4.940e+04,3.715e+02,4.984e+04
25.0,1.233e+02,7.261e+04,5.101e+02,7.324e+04
26.6,3.125e+02,8.222e+04,4.954e+02,8.303e+04
28.1,5.622e+02,8.991e+04,3.321e+02,9.080e+04
29.7,8.425e+02,1.062e+05,3.108e+02,1.073e+05
31.2,1.766e+03,1.440e+05,2.900e+02,1.461e+05
32.8,4.554e+03,2.631e+05,3.040e+02,2.680e+05
34.4,1.097e+04,4.942e+05,7.544e+02,5.059e+05
35.9,2.661e+04,9.076e+05,1.822e+03,9.360e+05
37.5,5.128e+04,1.381e+06,2.782e+03,1.435e+06
39.1,6.901e+04,1.476e+06,2.776e+03,1.548e+06
40.6,7.345e+04,1.217e+06,2.360e+03,1.293e+06
42.2,7.244e+04,9.351e+05,2.095e+03,1.010e+06
43.7,6.825e+04,6.916e+05,1.735e+03,7.616e+05
45.3,6.819e+04,5.278e+05,1.447e+03,5.975e+05
46.9,7.996e+04,4.526e+05,9.623e+02,5.335e+05
48.4,9.838e+04,3.991e+05,3.293e+02,4.978e+05
50.0,1.133e+05,3.485e+05,1.962e+02,4.620e+05
51.6,1.243e+05,3.182e+05,3.068e+02,4.428e+05
53.1,1.187e+05,2.975e+05,9.729e+02,4.172e+05
54.7,1.322e+05,2.765e+05,1.907e+03,4.105e+05
56.2,1.636e+05,2.320e+05,1.802e+03,3.974e+05
57.8,1.506e+05,1.498e+05,1.107e+03,3.015e+05
59.4,1.193e+05,9.856e+04,1.235e+03,2.191e+05
60.9,1.033e+05,7.387e+04,2.033e+03,1.792e+05
62.5,9.445e+04,5.265e+04,3.992e+03,1.511e+05
64.0,7.916e+04,3.180e+04,5.946e+03,1.169e+05
65.6,6.029e+04,2.187e+04,7.151e+03,8.931e+04
67.2,4.893e+04,1.854e+04,8.100e+03,7.556e+04
68.7,4.176e+04,1.550e+04,8.358e+03,6.562e+04
70.3,3.822e+04,1.260e+04,8.385e+03,5.920e+04
71.9,3.371e+04,1.053e+04,7.610e+03,5.185e+04
73.4,2.874e+04,1.165e+04,5.505e+03,4.590e+04
75.0,2.752e+04,1.320e+04,3.323e+03,4.404e+04
76.5,2.574e+04,1.305e+04,2.774e+03,4.157e+04
78.1,2.189e+04,1.401e+04,1.943e+03,3.785e+04
79.7,1.829e+04,1.679e+04,1.419e+03,3.650e+04
81.2,1.703e+04,1.591e+04,1.773e+03,3.471e+04
82.8,1.630e+04,1.243e+04,2.118e+03,3.085e+04
84.4,1.484e+04,1.305e+04,1.887e+03,2.978e+04
85.9,1.334e+04,1.480e+04,1.575e+03,2.971e+04
87.5,1.220e+04,1.519e+04,1.298e+03,2.868e+04
89.0,1.182e+04,1.617e+04,9.497e+02,2.894e+04
90.6,1.120e+04,1.839e+04,1.186e+03,3.078e+04
92.2,1.069e+04,2.346e+04,1.731e+03,3.587e+04
93.7,1.023e+04,2.699e+04,1.525e+03,3.874e+04
95.3,8.199e+03,2.135e+04,1.576e+03,3.112e+04
96.9,5.302e+03,1.497e+04,3.215e+03,2.349e+04
98.4,3.371e+03,1.021e+04,4.485e+03,1.806e+04
100.0,2.340e+03,5.989e+03,5.798e+03,1.413e+04
101.5,1.565e+03,3.106e+03,7.735e+03,1.241e+04
103.1,1.272e+03,2.153e+03,8.084e+03,1.151e+04
104.7,1.780e+03,4.465e+03,6.280e+03,1.252e+04
106.2,3.912e+03,1.072e+04,3.555e+03,1.819e+04
107.8,7.310e+03,1.692e+04,1.880e+03,2.611e+04
109.4,9.800e+03,2.006e+04,2.027e+03,3.189e+04
110.9,9.975e+03,1.960e+04,2.667e+03,3.224e+04
112.5,8.870e+03,1.730e+04,2.618e+03,2.879e+04
114.0,7.667e+03,1.468e+04,1.925e+03,2.427e+04
115.6,6.810e+03,1.293e+04,1.655e+03,2.140e+04
117.2,5.666e+03,1.417e+04,1.877e+03,2.171e+04
118.7,4.822e+03,1.411e+04,1.284e+03,2.022e+04
120.3,4.539e+03,1.408e+04,1.120e+03,1.974e+04
121.8,4.308e+03,1.406e+04,9.946e+02,1.936e+04
123.4,4.157e+03,1.373e+04,8.659e+02,1.875e+04
125.0,3.965e+03,1.336e+04,7.902e+02,1.812e+04
126.5,3.904e+03,1.297e+04,7.617e+02,1.763e+04
128.1,3.848e+03,1.254e+04,6.805e+02,1.707e+04
129.7,3.737e+03,1.203e+04,6.271e+02,1.639e+04
