freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.224e+01,1.154e+01,5.984e+02,6.222e+02
1.5,1.555e+01,1.600e+01,3.512e+02,3.828e+02
3.1,1.156e+01,1.262e+01,2.949e+01,5.367e+01
4.6,1.048e+01,1.155e+01,3.414e+02,3.635e+02
6.2,9.723e+00,1.258e+01,1.190e+03,1.212e+03
7.7,1.128e+01,1.326e+01,1.974e+03,1.999e+03
9.2,1.245e+01,1.421e+01,2.914e+03,2.941e+03
10.8,1.235e+01,1.389e+01,3.929e+03,3.955e+03
12.3,1.377e+01,1.422e+01,5.110e+03,5.138e+03
13.9,1.315e+01,1.389e+01,6.642e+03,6.669e+03
15.4,1.245e+01,1.500e+01,8.811e+03,8.838e+03
16.9,1.293e+01,1.811e+01,1.187e+04,1.190e+04
18.5,1.683e+01,1.910e+01,1.518e+04,1.522e+04
20.0,2.057e+01,1.911e+01,1.834e+04,1.838e+04
21.6,2.441e+01,2.277e+01,2.214e+04,2.219e+04
23.1,2.648e+01,2.675e+01,2.560e+04,2.566e+04
24.6,2.511e+01,3.263e+01,2.749e+04,2.755e+04
26.2,2.745e+01,4.268e+01,3.054e+04,3.061e+04
27.7,3.249e+01,5.026e+01,3.691e+04,3.699e+04
29.2,4.506e+01,6.330e+01,4.795e+04,4.806e+04
30.8,6.806e+01,9.946e+01,6.257e+04,6.274e+04
32.3,1.029e+02,2.260e+02,7.829e+04,7.862e+04
33.9,1.320e+02,4.101e+02,8.317e+04,8.371e+04
35.4,1.635e+02,3.988e+02,7.899e+04,7.956e+04
36.9,2.300e+02,3.149e+02,8.771e+04,8.826e+04
38.5,3.316e+02,3.056e+02,1.099e+05,1.105e+05
40.0,4.820e+02,4.154e+02,1.414e+05,1.423e+05
41.6,8.102e+02,7.472e+02,1.906e+05,1.921e+05
43.1,1.415e+03,1.596e+03,2.646e+05,2.676e+05
44.6,2.697e+03,3.605e+03,3.843e+05,3.906e+05
46.2,5.813e+03,8.811e+03,6.356e+05,6.502e+05
47.7,1.259e+04,1.850e+04,1.098e+06,1.129e+06
49.3,1.833e+04,3.164e+04,1.644e+06,1.694e+06
50.8,1.657e+04,4.314e+04,1.993e+06,2.053e+06
52.3,2.221e+04,4.080e+04,2.036e+06,2.099e+06
53.9,3.081e+04,2.825e+04,1.752e+06,1.811e+06
55.4,2.803e+04,1.677e+04,1.282e+06,1.327e+06
57.0,2.025e+04,9.546e+03,8.408e+05,8.706e+05
58.5,1.273e+04,6.321e+03,5.627e+05,5.818e+05
60.0,8.398e+03,4.519e+03,4.217e+05,4.346e+05
61.6,7.133e+03,2.782e+03,3.441e+05,3.540e+05
63.1,6.666e+03,1.626e+03,3.027e+05,3.110e+05
64.7,6.562e+03,8.494e+02,2.602e+05,2.676e+05
66.2,6.344e+03,3.808e+02,2.099e+05,2.166e+05
67.7,5.798e+03,2.323e+02,1.693e+05,1.753e+05
69.3,5.455e+03,3.438e+02,1.452e+05,1.510e+05
70.8,5.023e+03,4.404e+02,1.225e+05,1.279e+05
72.3,4.230e+03,3.990e+02,9.376e+04,9.839e+04
73.9,3.143e+03,3.109e+02,6.553e+04,6.898e+04
75.4,2.075e+03,2.312e+02,4.644e+04,4.875e+04
77.0,1.368e+03,1.042e+02,3.593e+04,3.740e+04
78.5,1.499e+03,9.563e+01,2.891e+04,3.051e+04
80.0,1.726e+03,2.330e+02,2.422e+04,2.618e+04
81.6,1.832e+03,3.750e+02,2.297e+04,2.518e+04
83.1,2.252e+03,5.832e+02,2.449e+04,2.733e+04
